PUN,Status,Recipe/Task,Total Execution Time (s)
1122305M01202880,Pass,34,0.22344189785628193
1122305M01202640,Pass,11,0.2574708965706787
1122306M01300660,Pass,34,0.23339749768339088
1122306M01400190,Pass,23,0.2958443959042764
1122306M01300450,Pass,31,0.15708849900858907
1122306M01300890,Pass,33,0.2247122978342199
1122306M01200360,Pass,21,0.22720729709624277
1122305M01402820,Pass,14,0.25905259654321056
1122306M01100680,Pass,31,0.15199529909703866
1122305M01102750,Pass,14,0.27580769625223794
1122306M01400510,Pass,23,0.18803129777658142
1122305M01302490,Pass,32,0.20997019809023432
1122305M01102870,Pass,13,0.31431119558357806
1122306M01200570,Pass,11,0.2533732966418385
1122306M01400340,Fail,32,0.15450969905337306
1122305M01403100,Pass,12,0.5216600919827133
1122305M01302610,Pass,23,0.19343199768279173
1122305M01102590,Pass,31,0.15469359905017943
1122305M01302850,Pass,11,0.2548417966163362
1122305M01302730,Pass,31,0.1561544990248091
1122305M01402460,Pass,22,0.21199399736044014
1122306M01400790,Pass,34,0.21999679791611026
1122305M01402740,Pass,33,0.24802059742944305
1122306M01100130,Pass,24,0.3441384950655909
1122305M01403100,Pass,31,0.15742769900269846
1122306M01100100,Pass,21,0.18908859775822015
1122306M01400860,Pass,34,0.2053024981712946
1122305M01403140,Pass,12,0.27179559632191297
1122305M01402980,Pass,14,0.26403299645671985
1122306M01100470,Pass,22,0.2269428971008344
1122306M01100280,Pass,11,0.25671949658372767
1122305M01102470,Pass,24,0.21138599737099878
1122306M01200850,Pass,32,0.25015769739232974
1122305M01403100,Pass,21,0.18996239774304555
1122306M01400120,Pass,33,0.2788037968948555
1122306M01100240,Pass,13,0.4227672937001066
1122306M01100070,Pass,23,0.20164189754021689
1122305M01302970,Pass,11,0.24592489677118898
1122305M01202520,Pass,23,0.19532629764989495
1122306M01400150,Pass,23,0.3204214954774653
1122306M01300110,Pass,12,0.3646429947095054
1122306M01400590,Pass,31,0.15933929896950122
1122306M01200530,Pass,22,0.202098697532284
1122305M01302730,Pass,21,0.1916587977135855
1222306M01101030,Pass,23,0.25567539660185973
1122306M01100390,Pass,12,0.43610839346842223
1122305M01202840,Pass,22,0.2066640974530003
1122306M01300330,Pass,22,0.33616749520401695
1122306M01400030,Pass,13,0.23264569700179838
1122305M01302690,Pass,23,0.18817649777405987
1122306M01300620,Pass,22,0.20668119745270336
1122305M01102430,Pass,34,0.23311329768832637
1122305M01402860,Pass,21,0.19231619770216896
1122306M01300140,Pass,23,0.2894456960153976
1122306M01200210,Pass,22,0.4107133939094371
1122305M01102950,Pass,31,0.15550959903600858
1122305M01103030,Pass,13,0.2411403968542776
1122306M01100640,Pass,34,0.25989779722318107
1122305M01102510,Pass,32,0.25372089733045045
1122306M01400340,Pass,31,0.15566419903332376
1122305M01402940,Pass,33,0.24049219756018284
1122306M01400830,Pass,14,0.2787720962007576
1122305M01302810,Pass,24,0.21629419728576196
1122306M01100100,Pass,12,0.4738972928121722
1222306M01100950,Pass,14,0.26337369646816944
1122305M01102790,Pass,31,0.15382549906525503
1122305M01102510,Pass,11,0.2650394964392408
1222306M01400940,Pass,22,0.20562609747102645
1122306M01300890,Pass,24,0.2116052973671904
1122306M01100840,Pass,12,0.38472559436074677
1122306M01100280,Pass,13,0.45501099314015564
1122306M01100040,Pass,14,0.28448469610155136
1122306M01200360,Pass,12,0.5590796913328766
1122305M01202480,Pass,33,0.19657549832284948
1122306M01200770,Pass,33,0.22236109787505132
1122305M01402420,Pass,31,0.1521527990943035
1122306M01300700,Pass,22,0.22685469710236608
1122306M01100070,Pass,13,0.24227409683458953
1122306M01200400,Pass,24,0.3380456951713997
1122306M01200920,Pass,32,0.2040290981934087
1222306M01201040,Pass,22,0.43565489347629777
1122306M01300490,Pass,21,0.1936761976785509
1122305M01403100,Pass,34,0.20451289818500695
1122306M01400150,Pass,22,0.3757218945171069
1222306M01400980,Pass,22,0.2075073974383554
1122305M01102670,Pass,23,0.1884218977697982
1122306M01200920,Pass,34,0.21221979805116728
1122305M01302730,Pass,23,0.19811539760145883
1122305M01402540,Pass,13,0.24430209679937084
1122306M01300410,Pass,31,0.15795159899360028
1122305M01402420,Pass,12,0.3539330948954958
1122306M01100130,Pass,34,0.21829209794571444
1122306M01400830,Pass,21,0.20053599755942217
1122305M01202400,Pass,33,0.23081529772823392
1122305M01102630,Pass,34,0.22206089788026467
1222306M01100990,Pass,34,0.22322689786001565
1122305M01302930,Pass,34,0.22345059785613086
1122306M01400630,Pass,23,0.18508169782780481
1122305M01402940,Pass,23,0.19222279770379097
1122305M01203080,Fail,14,0.29964129583833865
1122306M01100430,Pass,13,0.3101502956558371
1122306M01200480,Pass,21,0.1874838977860877
1122306M01400790,Pass,13,0.24647629676161326
1122306M01300740,Fail,14,0.5846124908894688
1122305M01402820,Pass,22,0.21075919738188395
1122306M01100160,Pass,23,0.3058012957313628
1122306M01100240,Pass,34,0.27315899699288426
1122306M01100600,Pass,13,0.24194459684031172
1122306M01400420,Pass,24,0.24225299683495596
1122306M01200880,Pass,31,0.15718829900685594
1122305M01202800,Pass,31,0.15224389909272143
1122306M01200730,Pass,21,0.20816869742687108
1122305M01402980,Pass,34,0.18178099857977392
1122305M01302490,Pass,23,0.20551109747302354
1122305M01302770,Pass,31,0.1491713991460791
1122305M01403060,Pass,14,0.26250369648327804
1122306M01100640,Pass,14,0.2765234962398072
1122306M01200440,Pass,31,0.15228129909207194
1122305M01403020,Pass,32,0.22090479790034176
1122305M01302530,Pass,31,0.15721359900641657
1122305M01102910,Pass,23,0.19531379765011203
1122306M01200880,Pass,23,0.1939426976739228
1122305M01202880,Pass,24,0.20527219747717232
1122305M01202600,Pass,32,0.23613449763585956
1122305M01102390,Pass,12,0.27460819627306876
1122305M01403140,Pass,23,0.19969449757403585
1122306M01200690,Pass,11,0.25652409658712105
1122306M01400340,Pass,22,0.32456809540545456
1122306M01400270,Pass,31,0.15318939907630166
1122306M01400460,Pass,22,0.2713249963300855
1122306M01100390,Pass,11,0.2497998967038949
1122305M01102470,Pass,33,0.20510949817464624
1122305M01202480,Pass,11,0.24162599684584457
1122305M01402580,Pass,13,0.23384229698101797
1122306M01400590,Pass,33,0.21185599805748512
1122306M01200920,Pass,22,0.24932669671211258
1122306M01400460,Pass,34,0.22032459791041764
1122306M01400030,Pass,11,0.24462109679383104
1122305M01402900,Pass,34,0.24274409752107587
1122305M01402860,Pass,14,0.250570296690516
1122305M01302450,Pass,33,0.23081859772817662
1122305M01202680,Pass,14,0.26564979642864217
1122306M01300450,Pass,21,0.21354629733348257
1122305M01202760,Pass,23,0.19570819764326278
1122306M01100350,Pass,24,0.3154227955642738
1122305M01402460,Pass,13,0.23497009696143234
1122305M01302570,Pass,33,0.21742569796076053
1122305M01203080,Pass,23,0.19331589768480795
1122305M01102990,Pass,22,0.264966296440512
1122305M01102630,Pass,33,0.21233559804915628
1122306M01200880,Pass,14,0.3520247949286357
1122305M01102710,Pass,31,0.15249279908839897
1122305M01102590,Pass,34,0.1843955985343682
1122306M01300580,Pass,32,0.21877839793726928
1222306M01400980,Pass,32,0.25975009722574605
1122305M01302410,Pass,24,0.20035009756265057
1122306M01200320,Fail,12,0.3250763953966273
1122305M01302850,Pass,32,0.20272629821603344
1122306M01100640,Pass,24,0.20490569748353704
1122305M01202440,Pass,31,0.15545689903692378
1122305M01403020,Pass,23,0.19080449772842145
1122306M01300330,Pass,14,0.28168179615022715
1122305M01402820,Pass,33,0.2280087977769722
1122306M01200360,Pass,24,0.4393284934125013
